學校代碼,公私立,學校體制,學校名稱,領域代碼,領域名稱,學門代碼,學門名稱,學類代碼,學類名稱,科系代碼,科系名稱,電話,電話分機,傳真,電子郵件,網址
1,公立(含市立),大學校院,國立政治大學,1,教育領域,14,教育學門,1401,綜合教育學類,140101,教育學系,02-2939-3091,62331,02-2938-7717,nccuedu@nccu.edu.tw,http://edu.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,1,教育領域,14,教育學門,1402,普通科目教育學類,140203,華語文教學博士學位學程,02-2939-3091,62556,02-2938-7457,tcasl@nccu.edu.tw,http://www.tcsl.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,1,教育領域,14,教育學門,1402,普通科目教育學類,140203,華語文教學碩士學位學程,02-2939-3091,62556,02-2938-7457,tcasl@nccu.edu.tw,http://www.tcsl.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,1,教育領域,14,教育學門,1404,學前教育學類,140401,幼兒教育研究所,02-2939-3091,62209,02-2938-7733,ece@nccu.edu.tw,http://www.ece.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,1,教育領域,14,教育學門,1407,教育行政學類,140701,教育行政與政策研究所,02-2939-3091,66081,02-2938-7470,eap@nccu.edu.tw,http://www.eap.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,1,教育領域,14,教育學門,1407,教育行政學類,140709,學校行政碩士在職專班,02-2939-3091,60012,02-8661-9260,jjmail@nccu.edu.tw,http://www.mesa.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2201,台灣語文學類,220101,台灣文學研究所,02-2939-3091,67267,02-2938-7534,tailit@nccu.edu.tw,http://tailit.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2202,中國語文學類,220201,中國文學系,02-2939-3091,62301,02-2939-3834,nccuchi@nccu.edu.tw,http://www.chinese.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2203,外國語文學類,220307,英國語文學系,02-2938-7072,無,02-2939-0510,english@nccu.edu.tw,http://english.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2203,外國語文學類,220320,日本語文學系,02-2938-7685,無,02-2938-7686,japanese@nccu.edu.tw,http://japanese.nccu.edu.tw
